"MANICALAND PROVINCE :2018 HARMONISED PRESIDENTIAL ELECTION RESULTS:30 JULY  2018 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,POLLING STATION CODE,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
national Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
Buhera,Buhera Central,Buhera RDC,21,Mukambirwa Primary School,0700BUH2103,1,190,3,0,1,1,1,6,1,0,0,0,0,0,180,4,0,1,1,0,0,0,0,16,0,406,390
Buhera,Buhera Central,Buhera RDC,21,Murwira Primary School,0700BUH2104,0,183,5,0,0,1,0,6,1,0,1,0,0,1,110,2,4,2,3,0,1,0,0,8,0,328,320
Buhera,Buhera Central,Buhera RDC,21,Pedzisai Primary School,0700BUH2105,1,90,0,0,1,4,0,3,0,0,0,0,1,0,180,4,0,1,3,0,0,2,1,10,0,301,291
Buhera,Buhera Central,Buhera RDC,21,Kuvengwa Village Tent,0700BUH2106,2,104,2,0,0,0,0,2,0,0,1,0,0,1,135,4,0,0,0,0,0,0,1,5,0,257,252
,,,,6 POLLING STATIONS,Ward Total,9,887,11,1,2,9,3,25,2,2,3,1,1,3,980,20,8,5,10,4,3,3,10,76,0,2078,2002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera Central,Buhera RDC,22,Charambira School Site Tent,0700BUH2201,1,108,2,1,0,1,0,1,0,0,0,0,0,0,286,1,1,0,0,0,0,0,2,9,0,413,404
Buhera,Buhera Central,Buhera RDC,22,Gotora Primary School,0700BUH2202,6,143,2,0,0,1,0,5,0,0,0,0,0,2,350,0,1,1,0,1,2,1,1,33,0,549,516
Buhera,Buhera Central,Buhera RDC,22,Mafuruse Primary School,0700BUH2203,3,86,2,0,0,0,0,2,0,0,0,1,0,0,351,2,0,0,0,0,0,1,1,21,0,470,449
Buhera,Buhera Central,Buhera RDC,22,Marambanyika Primary School,0700BUH2204,1,60,0,0,0,1,0,1,0,0,0,1,0,1,327,0,0,1,3,0,0,0,0,10,0,406,396
